snr_db,mc_idx,mc_seed,gamma_eff,chi,BER_Net,NMSE_Net,BER_LMMSE,BER_GAMP
17,8,527166791,1000000000.0,0.03313630695949573,,,0.0,0.0
17,9,245951460,1000000000.0,0.03313630695949573,,,0.0,0.0
19,0,944062963,1000000000.0,0.021317072515651556,,,0.0,0.0
19,1,1435384430,1000000000.0,0.021317072515651556,,,0.0,0.0
19,2,1405375275,1000000000.0,0.021317072515651556,,,0.0,0.0
19,3,1011671399,1000000000.0,0.021317072515651556,,,0.0,0.0
19,4,1836270334,1000000000.0,0.021317072515651556,,,0.0,0.0
19,5,1213835295,1000000000.0,0.021317072515651556,,,0.0,0.0
19,6,170075129,1000000000.0,0.021317072515651556,,,0.0,0.0
19,7,1642822537,1000000000.0,0.021317072515651556,,,0.0,0.0
19,8,1233945443,1000000000.0,0.021317072515651556,,,0.0,0.0
19,9,1363047213,1000000000.0,0.021317072515651556,,,0.0,0.0
21,0,1214129971,1000000000.0,0.01361845153039582,,,0.0,0.0
21,1,1188802710,1000000000.0,0.01361845153039582,,,0.0,0.0
21,2,194489917,1000000000.0,0.01361845153039582,,,0.0,0.0
21,3,1200888233,1000000000.0,0.01361845153039582,,,0.0,0.0
21,4,1707061845,1000000000.0,0.01361845153039582,,,0.0,0.0
21,5,652727865,1000000000.0,0.01361845153039582,,,0.0,0.0
21,6,1294585271,1000000000.0,0.01361845153039582,,,0.0,0.0
21,7,66180795,1000000000.0,0.01361845153039582,,,0.0,0.0
21,8,746248854,1000000000.0,0.01361845153039582,,,0.0,0.0
21,9,937843452,1000000000.0,0.01361845153039582,,,0.0,0.0
23,0,2110414631,1000000000.0,0.008661037123443257,,,0.0,0.0
23,1,460817075,1000000000.0,0.008661037123443257,,,0.0,0.0
23,2,593883019,1000000000.0,0.008661037123443257,,,0.0,0.0
23,3,877308582,1000000000.0,0.008661037123443257,,,0.0,0.0
23,4,2131733184,1000000000.0,0.008661037123443257,,,0.0,0.0
23,5,1832669144,1000000000.0,0.008661037123443257,,,0.0,0.0
23,6,74502574,1000000000.0,0.008661037123443257,,,0.0,0.0
23,7,502381220,1000000000.0,0.008661037123443257,,,0.0,0.0
23,8,1764532445,1000000000.0,0.008661037123443257,,,0.0,0.0
23,9,125204184,1000000000.0,0.008661037123443257,,,0.0,0.0
25,0,1837539165,1000000000.0,0.005492321043912631,,,0.0,0.0
25,1,604267306,1000000000.0,0.005492321043912631,,,0.0,0.0
25,2,1970642946,1000000000.0,0.005492321043912631,,,0.0,0.0
25,3,630487793,1000000000.0,0.005492321043912631,,,0.0,0.0
25,4,932688238,1000000000.0,0.005492321043912631,,,0.0,0.0
25,5,1421454891,1000000000.0,0.005492321043912631,,,0.0,0.0
25,6,271185814,1000000000.0,0.005492321043912631,,,0.0,0.0
25,7,1196217438,1000000000.0,0.005492321043912631,,,0.0,0.0
25,8,1084512518,1000000000.0,0.005492321043912631,,,0.0,0.0
25,9,1683408585,1000000000.0,0.005492321043912631,,,0.0,0.0
