init_error,snr_db,method,mc_idx,seed,ber,rmse_tau_init,rmse_tau_final,improvement,success_rate
0.0,15,proposed_no_update,2,3150,0.11830241233110428,0.0,0.0,0.0,1.0
0.0,15,proposed,2,3150,0.1186421737074852,0.0,0.0177577435915133,0.0,1.0
0.0,15,oracle_sync,2,3150,0.11830241233110428,0.0,0.0,0.0,1.0
0.0,15,adjoint_slice,3,4150,0.11646728962659836,0.0,0.0,0.0,1.0
0.0,15,proposed_no_update,3,4150,0.11819865554571152,0.0,0.0,0.0,1.0
0.0,15,proposed,3,4150,0.11843466013669968,0.0,0.019278193362352588,0.0,0.9921875
0.0,15,oracle_sync,3,4150,0.11819865554571152,0.0,0.0,0.0,1.0
0.0,15,adjoint_slice,4,5150,0.1041056364774704,0.0,0.0,0.0,1.0
0.0,15,proposed_no_update,4,5150,0.1045634001493454,0.0,0.0,0.0,1.0
0.0,15,proposed,4,5150,0.1046854704618454,0.0,0.019308816931421613,0.0,0.99609375
0.0,15,oracle_sync,4,5150,0.1045634001493454,0.0,0.0,0.0,1.0
0.0,15,adjoint_slice,5,6150,0.11078085005283356,0.0,0.0,0.0,1.0
0.0,15,proposed_no_update,5,6150,0.10979004204273224,0.0,0.0,0.0,1.0
0.0,15,proposed,5,6150,0.11004232615232468,0.0,0.01902577825802493,0.0,0.99609375
0.0,15,oracle_sync,5,6150,0.10979004204273224,0.0,0.0,0.0,1.0
0.0,15,adjoint_slice,6,7150,0.1054585799574852,0.0,0.0,0.0,1.0
0.0,15,proposed_no_update,6,7150,0.10439249873161316,0.0,0.0,0.0,1.0
0.0,15,proposed,6,7150,0.1047668531537056,0.0,0.018382857845865856,0.0,0.9921875
0.0,15,oracle_sync,6,7150,0.10439249873161316,0.0,0.0,0.0,1.0
0.0,15,adjoint_slice,7,8150,0.10565389692783356,0.0,0.0,0.0,1.0
0.0,15,proposed_no_update,7,8150,0.10677286982536316,0.0,0.0,0.0,1.0
0.0,15,proposed,7,8150,0.10694173723459244,0.0,0.018642897535233047,0.0,1.0
0.0,15,oracle_sync,7,8150,0.10677286982536316,0.0,0.0,0.0,1.0
0.0,15,adjoint_slice,8,9150,0.10847168415784836,0.0,0.0,0.0,1.0
0.0,15,proposed_no_update,8,9150,0.11026611924171448,0.0,0.0,0.0,1.0
0.0,15,proposed,8,9150,0.11040650308132172,0.0,0.020892327600630124,0.0,0.9921875
0.0,15,oracle_sync,8,9150,0.11026611924171448,0.0,0.0,0.0,1.0
0.0,15,adjoint_slice,9,10150,0.10941772907972336,0.0,0.0,0.0,1.0
0.0,15,proposed_no_update,9,10150,0.10854696482419968,0.0,0.0,0.0,1.0
0.0,15,proposed,9,10150,0.10884399712085724,0.0,0.022661616325328027,0.0,0.99609375
0.0,15,oracle_sync,9,10150,0.10854696482419968,0.0,0.0,0.0,1.0
0.0,20,adjoint_slice,0,1200,0.1202392652630806,0.0,0.0,0.0,1.0
0.0,20,proposed_no_update,0,1200,0.12012533098459244,0.0,0.0,0.0,1.0
0.0,20,proposed,0,1200,0.1203715056180954,0.0,0.019815995883479137,0.0,1.0
0.0,20,oracle_sync,0,1200,0.12012533098459244,0.0,0.0,0.0,1.0
0.0,20,adjoint_slice,1,2200,0.11560669541358948,0.0,0.0,0.0,1.0
0.0,20,proposed_no_update,1,2200,0.11496582627296448,0.0,0.0,0.0,1.0
0.0,20,proposed,1,2200,0.11504517495632172,0.0,0.015990014196947462,0.0,1.0
0.0,20,oracle_sync,1,2200,0.11496582627296448,0.0,0.0,0.0,1.0
0.0,20,adjoint_slice,2,3200,0.10727743059396744,0.0,0.0,0.0,1.0
0.0,20,proposed_no_update,2,3200,0.10654907673597336,0.0,0.0,0.0,1.0
0.0,20,proposed,2,3200,0.10676880180835724,0.0,0.01786844396501534,0.0,1.0
0.0,20,oracle_sync,2,3200,0.10654907673597336,0.0,0.0,0.0,1.0
0.0,20,adjoint_slice,3,4200,0.0975036695599556,0.0,0.0,0.0,1.0
0.0,20,proposed_no_update,3,4200,0.09864909201860428,0.0,0.0,0.0,1.0
0.0,20,proposed,3,4200,0.09901123493909836,0.0,0.0178410570598902,0.0,0.99609375
0.0,20,oracle_sync,3,4200,0.09864909201860428,0.0,0.0,0.0,1.0
0.0,20,adjoint_slice,4,5200,0.11599121987819672,0.0,0.0,0.0,1.0
0.0,20,proposed_no_update,4,5200,0.11539917439222336,0.0,0.0,0.0,1.0
0.0,20,proposed,4,5200,0.11563924700021744,0.0,0.01740283307001185,0.0,0.99609375
0.0,20,oracle_sync,4,5200,0.11539917439222336,0.0,0.0,0.0,1.0
0.0,20,adjoint_slice,5,6200,0.11887817829847336,0.0,0.0,0.0,1.0
0.0,20,proposed_no_update,5,6200,0.1200154721736908,0.0,0.0,0.0,1.0
0.0,20,proposed,5,6200,0.1201477125287056,0.0,0.015379325741939776,0.0,1.0
0.0,20,oracle_sync,5,6200,0.1200154721736908,0.0,0.0,0.0,1.0
0.0,20,adjoint_slice,6,7200,0.11045939475297928,0.0,0.0,0.0,1.0
0.0,20,proposed_no_update,6,7200,0.10912679880857468,0.0,0.0,0.0,1.0
0.0,20,proposed,6,7200,0.10940959304571152,0.0,0.021338422850842174,0.0,0.99609375
0.0,20,oracle_sync,6,7200,0.10912679880857468,0.0,0.0,0.0,1.0
0.0,20,adjoint_slice,7,8200,0.10356038808822632,0.0,0.0,0.0,1.0
0.0,20,proposed_no_update,7,8200,0.10486450791358948,0.0,0.0,0.0,1.0
0.0,20,proposed,7,8200,0.1049499586224556,0.0,0.020460878776364044,0.0,1.0
0.0,20,oracle_sync,7,8200,0.10486450791358948,0.0,0.0,0.0,1.0
0.0,20,adjoint_slice,8,9200,0.11512655019760132,0.0,0.0,0.0,1.0
0.0,20,proposed_no_update,8,9200,0.11465658247470856,0.0,0.0,0.0,1.0
0.0,20,proposed,8,9200,0.11486206948757172,0.0,0.020739264365123224,0.0,0.9921875
0.0,20,oracle_sync,8,9200,0.11465658247470856,0.0,0.0,0.0,1.0
0.0,20,adjoint_slice,9,10200,0.14459432661533356,0.0,0.0,0.0,1.0
0.0,20,proposed_no_update,9,10200,0.14219768345355988,0.0,0.0,0.0,1.0
0.0,20,proposed,9,10200,0.14235027134418488,0.0,0.019314327200677887,0.0,0.99609375
0.0,20,oracle_sync,9,10200,0.14219768345355988,0.0,0.0,0.0,1.0
0.0,25,adjoint_slice,0,1250,0.1280721127986908,0.0,0.0,0.0,1.0
0.0,25,proposed_no_update,0,1250,0.1268208920955658,0.0,0.0,0.0,1.0
0.0,25,proposed,0,1250,0.12701213359832764,0.0,0.021695156579014066,0.0,0.99609375
0.0,25,oracle_sync,0,1250,0.1268208920955658,0.0,0.0,0.0,1.0
0.0,25,adjoint_slice,1,2250,0.1019083708524704,0.0,0.0,0.0,1.0
0.0,25,proposed_no_update,1,2250,0.10246989130973816,0.0,0.0,0.0,1.0
0.0,25,proposed,1,2250,0.10241903364658356,0.0,0.014952063963198602,0.0,1.0
0.0,25,oracle_sync,1,2250,0.10246989130973816,0.0,0.0,0.0,1.0
0.0,25,adjoint_slice,2,3250,0.10508016496896744,0.0,0.0,0.0,1.0
0.0,25,proposed_no_update,2,3250,0.10512899607419968,0.0,0.0,0.0,1.0
0.0,25,proposed,2,3250,0.1050720289349556,0.0,0.016106467475450675,0.0,0.99609375
0.0,25,oracle_sync,2,3250,0.10512899607419968,0.0,0.0,0.0,1.0
0.0,25,adjoint_slice,3,4250,0.11276856064796448,0.0,0.0,0.0,1.0
0.0,25,proposed_no_update,3,4250,0.11278076469898224,0.0,0.0,0.0,1.0
0.0,25,proposed,3,4250,0.1129964217543602,0.0,0.020389368071744136,0.0,0.9921875
0.0,25,oracle_sync,3,4250,0.11278076469898224,0.0,0.0,0.0,1.0
0.0,25,adjoint_slice,4,5250,0.10721232742071152,0.0,0.0,0.0,1.0
0.0,25,proposed_no_update,4,5250,0.10796713083982468,0.0,0.0,0.0,1.0
0.0,25,proposed,4,5250,0.10809937119483948,0.0,0.018942258286994616,0.0,0.99609375
0.0,25,oracle_sync,4,5250,0.10796713083982468,0.0,0.0,0.0,1.0
0.0,25,adjoint_slice,5,6250,0.1148173063993454,0.0,0.0,0.0,1.0
0.0,25,proposed_no_update,5,6250,0.11488444358110428,0.0,0.0,0.0,1.0
0.0,25,proposed,5,6250,0.1150309294462204,0.0,0.016202793860123313,0.0,0.99609375
0.0,25,oracle_sync,5,6250,0.11488444358110428,0.0,0.0,0.0,1.0
0.0,25,adjoint_slice,6,7250,0.12149251997470856,0.0,0.0,0.0,1.0
0.0,25,proposed_no_update,6,7250,0.12337647378444672,0.0,0.0,0.0,1.0
0.0,25,proposed,6,7250,0.12338054180145264,0.0,0.0141192310609347,0.0,1.0
0.0,25,oracle_sync,6,7250,0.12337647378444672,0.0,0.0,0.0,1.0
0.0,25,adjoint_slice,7,8250,0.12204387038946152,0.0,0.0,0.0,1.0
0.0,25,proposed_no_update,7,8250,0.1218261793255806,0.0,0.0,0.0,1.0
0.0,25,proposed,7,8250,0.12196452170610428,0.0,0.01914047276352849,0.0,1.0
0.0,25,oracle_sync,7,8250,0.1218261793255806,0.0,0.0,0.0,1.0
0.0,25,adjoint_slice,8,9250,0.10847371816635132,0.0,0.0,0.0,1.0
0.0,25,proposed_no_update,8,9250,0.10918986797332764,0.0,0.0,0.0,1.0
0.0,25,proposed,8,9250,0.10922852158546448,0.0,0.015954311769658183,0.0,0.99609375
0.0,25,oracle_sync,8,9250,0.10918986797332764,0.0,0.0,0.0,1.0
0.0,25,adjoint_slice,9,10250,0.11110229790210724,0.0,0.0,0.0,1.0
0.0,25,proposed_no_update,9,10250,0.11053670942783356,0.0,0.0,0.0,1.0
0.0,25,proposed,9,10250,0.1106058806180954,0.0,0.0164238958445669,0.0,0.99609375
0.0,25,oracle_sync,9,10250,0.11053670942783356,0.0,0.0,0.0,1.0
0.2,-5,adjoint_slice,0,970,0.3270528316497803,0.20303121173913147,0.20303121173913147,0.9999999995074649,0.390625
0.2,-5,proposed_no_update,0,970,0.32678428292274475,0.20303121173913147,0.20303121173913147,0.9999999995074649,0.390625
0.2,-5,proposed,0,970,0.3194030821323395,0.20303121173913147,0.11577835718696514,1.753619730809479,0.62890625
0.2,-5,oracle_sync,0,970,0.3163391351699829,0.20303121173913147,0.0,2030312117.3913145,1.0
0.2,-5,adjoint_slice,1,1970,0.3285115659236908,0.21694127470695068,0.21694127470695068,0.9999999995390457,0.3515625
0.2,-5,proposed_no_update,1,1970,0.3286336362361908,0.21694127470695068,0.21694127470695068,0.9999999995390457,0.3515625
0.2,-5,proposed,1,1970,0.31874796748161316,0.21694127470695068,0.11129059676026415,1.9493225917310961,0.63671875
0.2,-5,oracle_sync,1,1970,0.3163757622241974,0.21694127470695068,0.0,2169412747.0695066,1.0
0.2,-5,adjoint_slice,2,2970,0.33198243379592896,0.19821564473963751,0.19821564473963751,0.9999999994954989,0.4296875
0.2,-5,proposed_no_update,2,2970,0.3324646055698395,0.19821564473963751,0.19821564473963751,0.9999999994954989,0.4296875
0.2,-5,proposed,2,2970,0.3258870542049408,0.19821564473963751,0.1159209119013099,1.7099213706789824,0.64453125
0.2,-5,oracle_sync,2,2970,0.32317301630973816,0.19821564473963751,0.0,1982156447.3963752,1.0
0.2,-5,adjoint_slice,3,3970,0.3332173824310303,0.20615583577409718,0.20615583577409718,0.99999999951493,0.38671875
0.2,-5,proposed_no_update,3,3970,0.3338155150413513,0.20615583577409718,0.20615583577409718,0.99999999951493,0.38671875
0.2,-5,proposed,3,3970,0.3255208432674408,0.20615583577409718,0.10971880672098239,1.8789471171561483,0.65625
0.2,-5,oracle_sync,3,3970,0.3227030634880066,0.20615583577409718,0.0,2061558357.7409718,1.0
0.2,-5,adjoint_slice,4,4970,0.3290303647518158,0.19115687036036738,0.19115687036036738,0.9999999994768694,0.390625
0.2,-5,proposed_no_update,4,4970,0.32863569259643555,0.19115687036036738,0.19115687036036738,0.9999999994768694,0.390625
0.2,-5,proposed,4,4970,0.3215698301792145,0.19115687036036738,0.10691853768384627,1.787873967625923,0.68359375
0.2,-5,oracle_sync,4,4970,0.3199564814567566,0.19115687036036738,0.0,1911568703.6036737,1.0
0.2,-5,adjoint_slice,5,5970,0.3274068236351013,0.19654658468023747,0.19654658468023747,0.9999999994912148,0.3984375
0.2,-5,proposed_no_update,5,5970,0.3273966610431671,0.19654658468023747,0.19654658468023747,0.9999999994912148,0.3984375
