init_error,snr_db,method,mc_idx,seed,mf_grid_points,mf_search_half_range,ber,rmse_tau_init,rmse_tau_final,improvement,success_rate
0.1,15.0,oracle_sync,4,4010,41,1.7,0.0963948592543602,0.09779290995602843,0.0,977929099.5602843,1.0
0.1,15.0,naive_slice,5,5010,41,1.7,0.5047281980514526,0.10965029979404957,0.10965029979404957,0.9999999990880098,0.59375
0.1,15.0,adjoint_lmmse,5,5010,41,1.7,0.11095988750457764,0.10965029979404957,0.10965029979404957,0.9999999990880098,0.59375
0.1,15.0,adjoint_slice,5,5010,41,1.7,0.11095988750457764,0.10965029979404957,0.10965029979404957,0.9999999990880098,0.59375
0.1,15.0,matched_filter,5,5010,41,1.7,0.10492350906133652,0.10965029979404957,0.03367208565516493,3.2564154353648975,0.9921875
0.1,15.0,proposed_no_update,5,5010,41,1.7,0.11223144829273224,0.10965029979404957,0.10965029979404957,0.9999999990880098,0.59375
0.1,15.0,proposed,5,5010,41,1.7,0.10554606467485428,0.10965029979404957,0.022744216428508983,4.821018989887262,0.98828125
0.1,15.0,oracle_sync,5,5010,41,1.7,0.10527954995632172,0.10965029979404957,0.0,1096502997.9404957,1.0
0.1,15.0,naive_slice,6,6010,41,1.7,0.49317222833633423,0.09949370039243473,0.09949370039243473,0.9999999989949113,0.68359375
0.1,15.0,adjoint_lmmse,6,6010,41,1.7,0.10440674424171448,0.09949370039243473,0.09949370039243473,0.9999999989949113,0.68359375
0.1,15.0,adjoint_slice,6,6010,41,1.7,0.10440674424171448,0.09949370039243473,0.09949370039243473,0.9999999989949113,0.68359375
0.1,15.0,matched_filter,6,6010,41,1.7,0.10041707754135132,0.09949370039243473,0.03581685413562715,2.777845863790796,0.9921875
0.1,15.0,proposed_no_update,6,6010,41,1.7,0.10433757305145264,0.09949370039243473,0.09949370039243473,0.9999999989949113,0.68359375
0.1,15.0,proposed,6,6010,41,1.7,0.10011190176010132,0.09949370039243473,0.022691515361245678,4.384621228245321,1.0
0.1,15.0,oracle_sync,6,6010,41,1.7,0.09977417439222336,0.09949370039243473,0.0,994937003.9243473,1.0
0.1,15.0,naive_slice,7,7010,41,1.7,0.4920918941497803,0.09446323579502458,0.09446323579502458,0.9999999989413871,0.671875
0.1,15.0,adjoint_lmmse,7,7010,41,1.7,0.1135355681180954,0.09446323579502458,0.09446323579502458,0.9999999989413871,0.671875
0.1,15.0,adjoint_slice,7,7010,41,1.7,0.1135355681180954,0.09446323579502458,0.09446323579502458,0.9999999989413871,0.671875
0.1,15.0,matched_filter,7,7010,41,1.7,0.10961101204156876,0.09446323579502458,0.032452522479193724,2.910813344771779,1.0
0.1,15.0,proposed_no_update,7,7010,41,1.7,0.11266480386257172,0.09446323579502458,0.09446323579502458,0.9999999989413871,0.671875
0.1,15.0,proposed,7,7010,41,1.7,0.1083577498793602,0.09446323579502458,0.01708633277050548,5.528584542449568,0.99609375
0.1,15.0,oracle_sync,7,7010,41,1.7,0.10809733718633652,0.09446323579502458,0.0,944632357.9502457,1.0
0.1,15.0,naive_slice,8,8010,41,1.7,0.5079874992370605,0.10826564344780955,0.10826564344780955,0.999999999076346,0.66796875
0.1,15.0,adjoint_lmmse,8,8010,41,1.7,0.11135051399469376,0.10826564344780955,0.10826564344780955,0.999999999076346,0.66796875
0.1,15.0,adjoint_slice,8,8010,41,1.7,0.11135051399469376,0.10826564344780955,0.10826564344780955,0.999999999076346,0.66796875
0.1,15.0,matched_filter,8,8010,41,1.7,0.10515747964382172,0.10826564344780955,0.03321895436095825,3.2591526495830134,0.99609375
0.1,15.0,proposed_no_update,8,8010,41,1.7,0.11243490129709244,0.10826564344780955,0.10826564344780955,0.999999999076346,0.66796875
0.1,15.0,proposed,8,8010,41,1.7,0.1056823804974556,0.10826564344780955,0.021729821183912316,4.982353146547232,0.99609375
0.1,15.0,oracle_sync,8,8010,41,1.7,0.10554403066635132,0.10826564344780955,0.0,1082656434.4780955,1.0
0.1,15.0,naive_slice,9,9010,41,1.7,0.49354657530784607,0.10534129838474787,0.10534129838474787,0.9999999990507048,0.63671875
0.1,15.0,adjoint_lmmse,9,9010,41,1.7,0.11566569656133652,0.10534129838474787,0.10534129838474787,0.9999999990507048,0.63671875
0.1,15.0,adjoint_slice,9,9010,41,1.7,0.11566569656133652,0.10534129838474787,0.10534129838474787,0.9999999990507048,0.63671875
0.1,15.0,matched_filter,9,9010,41,1.7,0.11033325642347336,0.10534129838474787,0.0368171239237387,2.8612038875395758,0.9765625
0.1,15.0,proposed_no_update,9,9010,41,1.7,0.11539103835821152,0.10534129838474787,0.10534129838474787,0.9999999990507048,0.63671875
0.1,15.0,proposed,9,9010,41,1.7,0.10970866680145264,0.10534129838474787,0.02217777168123014,4.749859427893566,0.9921875
0.1,15.0,oracle_sync,9,9010,41,1.7,0.10940959304571152,0.10534129838474787,0.0,1053412983.8474786,1.0
0.2,15.0,naive_slice,0,20,41,1.7,0.5038330554962158,0.1867486048738368,0.1867486048738368,0.9999999994645207,0.37890625
0.2,15.0,adjoint_lmmse,0,20,41,1.7,0.1289469450712204,0.1867486048738368,0.1867486048738368,0.9999999994645207,0.37890625
