snr_db,method,mc_idx,seed,init_error,ber,rmse_tau_init,rmse_tau_final,improvement,success_rate
5,matched_filter,8,9050,0.3,0.16670329868793488,0.30909354876878914,0.04409989452509002,7.008940755902275,0.95703125
5,adjoint_slice,8,9050,0.3,0.21443074941635132,0.30909354876878914,0.30909354876878914,0.9999999996764734,0.2578125
5,proposed_no_update,8,9050,0.3,0.21621094644069672,0.30909354876878914,0.30909354876878914,0.9999999996764734,0.2578125
5,proposed,8,9050,0.3,0.17114868760108948,0.30909354876878914,0.07679658326815357,4.024834637330569,0.953125
5,oracle_sync,8,9050,0.3,0.1684061735868454,0.30909354876878914,0.0,3090935487.6878915,1.0
5,matched_filter,9,10050,0.3,0.15712077915668488,0.29547463040933547,0.04550909412114677,6.492650215658146,0.96875
5,adjoint_slice,9,10050,0.3,0.20372925698757172,0.29547463040933547,0.29547463040933547,0.9999999996615614,0.26171875
5,proposed_no_update,9,10050,0.3,0.20217286050319672,0.29547463040933547,0.29547463040933547,0.9999999996615614,0.26171875
5,proposed,9,10050,0.3,0.15645548701286316,0.29547463040933547,0.05968554784333052,4.950522204971277,0.95703125
5,oracle_sync,9,10050,0.3,0.15436401963233948,0.29547463040933547,0.0,2954746304.0933547,1.0
10,matched_filter,0,1100,0.3,0.1001078337430954,0.30299382558865473,0.03515299440529222,8.619289191509404,0.99609375
10,adjoint_slice,0,1100,0.3,0.16008707880973816,0.30299382558865473,0.30299382558865473,0.9999999996699602,0.2734375
10,proposed_no_update,0,1100,0.3,0.15952353179454803,0.30299382558865473,0.30299382558865473,0.9999999996699602,0.2734375
10,proposed,0,1100,0.3,0.10069173574447632,0.30299382558865473,0.07385275314762685,4.102674744876773,0.9765625
10,oracle_sync,0,1100,0.3,0.09890341013669968,0.30299382558865473,0.0,3029938255.886547,1.0
10,matched_filter,1,2100,0.3,0.09667358547449112,0.3254719137568978,0.03649966526687405,8.917120485501378,0.98828125
10,adjoint_slice,1,2100,0.3,0.16776937246322632,0.3254719137568978,0.3254719137568978,0.9999999996927538,0.234375
10,proposed_no_update,1,2100,0.3,0.16803589463233948,0.3254719137568978,0.3254719137568978,0.9999999996927538,0.234375
10,proposed,1,2100,0.3,0.09806722402572632,0.3254719137568978,0.04651676895640372,6.996872748454394,0.97265625
10,oracle_sync,1,2100,0.3,0.09619548171758652,0.3254719137568978,0.0,3254719137.5689783,1.0
10,matched_filter,2,3100,0.3,0.09629517048597336,0.2768033384590786,0.03543174217196069,7.8122982588448675,0.98828125
10,adjoint_slice,2,3100,0.3,0.14742635190486908,0.2768033384590786,0.2768033384590786,0.9999999996387327,0.265625
10,proposed_no_update,2,3100,0.3,0.14781087636947632,0.2768033384590786,0.2768033384590786,0.9999999996387327,0.265625
10,proposed,2,3100,0.3,0.09650065749883652,0.2768033384590786,0.0371701673749372,7.446922014696848,0.984375
10,oracle_sync,2,3100,0.3,0.0959065780043602,0.2768033384590786,0.0,2768033384.590786,1.0
10,matched_filter,3,4100,0.3,0.10730591416358948,0.31421396073960034,0.039496366018609536,7.955515699748182,0.984375
10,adjoint_slice,3,4100,0.3,0.17214763164520264,0.31421396073960034,0.31421396073960034,0.9999999996817455,0.2734375
10,proposed_no_update,3,4100,0.3,0.17340496182441711,0.31421396073960034,0.31421396073960034,0.9999999996817455,0.2734375
10,proposed,3,4100,0.3,0.11020711809396744,0.31421396073960034,0.08917516995414153,3.523558862280044,0.96875
10,oracle_sync,3,4100,0.3,0.10831096023321152,0.31421396073960034,0.0,3142139607.3960032,1.0
10,matched_filter,4,5100,0.3,0.09292806684970856,0.3120561018763427,0.03817328709957914,8.174724388938218,0.98828125
10,adjoint_slice,4,5100,0.3,0.1578674465417862,0.3120561018763427,0.3120561018763427,0.9999999996795448,0.296875
10,proposed_no_update,4,5100,0.3,0.15828858315944672,0.3120561018763427,0.3120561018763427,0.9999999996795448,0.296875
10,proposed,4,5100,0.3,0.09588216990232468,0.3120561018763427,0.09911141208494985,3.1485385486589674,0.96875
10,oracle_sync,4,5100,0.3,0.09280803054571152,0.3120561018763427,0.0,3120561018.763427,1.0
10,matched_filter,5,6100,0.3,0.09665527939796448,0.28313565085385023,0.0365531060342314,7.745871166573672,0.9921875
10,adjoint_slice,5,6100,0.3,0.1504414975643158,0.28313565085385023,0.28313565085385023,0.9999999996468124,0.2734375
10,proposed_no_update,5,6100,0.3,0.15006715059280396,0.28313565085385023,0.28313565085385023,0.9999999996468124,0.2734375
10,proposed,5,6100,0.3,0.09601441025733948,0.28313565085385023,0.03128888328348161,9.049081342523284,0.984375
10,oracle_sync,5,6100,0.3,0.09529012441635132,0.28313565085385023,0.0,2831356508.538502,1.0
10,matched_filter,6,7100,0.3,0.10315755754709244,0.286661995697063,0.03467917785012765,8.266112769723478,1.0
